,IQR_outliers,Z_score_outliers,Total_values,IQR_percent,Z_percent
Temp_K,0,0,2515,0.0,0.0
Ea_eV,218,46,2515,8.667992047713717,1.8290258449304173
Ionic_Conductivity,363,13,2515,14.433399602385686,0.5168986083499005
avg_electronegativity,1,1,2515,0.039761431411530816,0.039761431411530816
avg_atomic_mass,80,27,2515,3.180914512922465,1.073558648111332
avg_ionic_radius,127,89,2515,5.049701789264414,3.5387673956262424
num_elements,87,22,2515,3.459244532803181,0.8747514910536779
li_fraction,14,13,2515,0.5566600397614314,0.5168986083499005
composition_entropy,22,22,2515,0.8747514910536779,0.8747514910536779
electronegativity_variance,6,4,2515,0.2385685884691849,0.15904572564612326
group_diversity,0,17,2515,0.0,0.6759443339960238
packing_efficiency_proxy,0,0,2515,0.0,0.0
li_to_anion_ratio,67,46,2515,2.6640159045725644,1.8290258449304173
heaviest_element_mass,0,0,2515,0.0,0.0
lightest_element_mass,199,25,2515,7.912524850894632,0.9940357852882704
is_mixture,192,192,2515,7.634194831013917,7.634194831013917
formula_complexity,83,34,2515,3.300198807157058,1.3518886679920477
total_atoms,108,39,2515,4.294234592445328,1.5506958250497018
